0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.61,-0.61,0,0,-0.61,-0.61,0,0,-1.22,0,-0.61,0,-0.61,0,-0.61,0,-0.61,-0.61,-0.61,0,-0.61,-0.61
0,0,0.61,0,-0.61,-0.61,-1.22,-0.61,0,0,-1.22,0,-0.61,-0.61,-0.61,0,-0.61,0,-0.61,-0.61,-0.61,0,-1.22,-0.61
0,0,1.22,0.61,-0.61,-0.61,-1.22,-1.22,0,0,-1.22,0,-1.22,-0.61,-0.61,-0.61,-1.22,0,-1.22,-0.61,-1.22,-1.22,-1.22,-0.61
0,0,0.61,0,-0.61,-0.61,-1.22,-1.22,-0.61,-0.61,-1.22,0,-1.22,-1.22,-1.84,-1.22,-1.22,-0.61,-1.22,-1.22,-1.22,-0.61,-1.22,-1.23
0,0.61,1.22,0.61,-1.22,-0.61,-1.83,-1.22,-0.61,-0.61,-0.61,0,-1.83,-1.22,-1.23,-1.22,-1.22,-0.61,-1.22,-1.22,-2.44,-1.83,-2.44,-1.84
0.61,0,0.61,0,-1.22,-1.22,-1.22,-1.22,-0.61,-0.61,-1.22,0,-1.83,-1.84,-1.23,-1.22,-1.22,-1.83,-1.83,-1.83,-2.44,-1.83,-2.44,-2.45
0.61,0.61,1.22,0.61,-1.22,-0.61,-1.22,-1.83,0,0,-0.61,0,-1.83,-1.84,-1.84,-1.22,-1.83,-1.22,-1.83,-1.22,-3.05,-1.83,-3.05,-2.45
0.61,0.61,1.22,0.61,-1.83,-1.83,-2.44,-1.83,0,-0.61,-0.61,0,-2.44,-1.84,-1.84,-1.22,-1.22,-1.22,-1.83,-2.45,-3.05,-2.44,-3.05,-3.06
0.61,0.61,1.22,1.22,-2.44,-1.83,-2.44,-1.83,0,0,0,0.61,-1.83,-1.84,-1.84,-1.83,-2.44,-1.22,-2.44,-1.83,-3.66,-2.44,-3.05,-3.06
0.61,1.22,1.22,1.22,-1.83,-1.83,-2.44,-2.44,0.61,0.61,0,0.61,-1.83,-1.84,-1.84,-1.83,-1.83,-1.83,-2.44,-2.45,-3.05,-2.44,-3.05,-3.67
1.83,1.22,1.83,1.22,-1.83,-1.22,-1.22,-1.83,0.61,1.23,0,1.22,-1.83,-1.84,-1.23,-1.22,-2.44,-2.44,-2.44,-3.06,-3.66,-2.44,-3.05,-3.67
1.83,1.83,2.44,1.83,-1.22,-1.22,-1.22,-1.83,1.22,0.61,0.61,1.22,-1.22,-1.84,-1.23,-1.22,-2.44,-2.44,-2.44,-2.45,-3.05,-3.05,-3.05,-3.06
2.44,1.83,2.44,1.83,-1.22,-1.22,-1.83,-1.22,1.22,1.23,0.61,1.22,-1.22,-0.61,-1.23,-0.61,-3.05,-2.44,-3.05,-3.06,-3.05,-2.44,-3.05,-3.06
